No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,alura latam,2400,1,821,26,http://aluracursos.com/
2,pascalcase,480,1,250,31,http://aluracursos.com/blog/convenciones-de-nomenclatura-camel-pascal-kebab-snake-case
3,pascal case,480,1,190,1,http://aluracursos.com/blog/convenciones-de-nomenclatura-camel-pascal-kebab-snake-case
4,swing en java,480,1,189,14,http://aluracursos.com/blog/biblioteca-swing
5,trigger sql,260,1,93,19,http://aluracursos.com/blog/que-es-y-como-trigger-en-sql
6,tipos de histogramas,260,1,90,13,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
7,camel case,1300,2,135,27,http://aluracursos.com/blog/convenciones-de-nomenclatura-camel-pascal-kebab-snake-case
8,github pages,1300,2,130,51,http://aluracursos.com/blog/github-pages
9,triggers,2900,2,112,31,http://aluracursos.com/blog/que-es-y-como-trigger-en-sql
10,snake case,590,2,69,24,http://aluracursos.com/blog/convenciones-de-nomenclatura-camel-pascal-kebab-snake-case
11,camelcase,1300,2,58,21,http://aluracursos.com/blog/convenciones-de-nomenclatura-camel-pascal-kebab-snake-case
12,histogramas,1600,2,56,19,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
13,codepen io,480,2,50,21,http://aluracursos.com/blog/codepen-que-es-y-como-funciona
14,gráfica de histograma,390,2,46,6,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
15,gráfico de histograma,390,2,46,7,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
16,grafica de histograma,390,2,46,5,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
17,que es un trigger,260,2,20,5,http://aluracursos.com/blog/que-es-y-como-trigger-en-sql
18,tipos de joins,210,2,16,5,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
19,tipos de join,210,2,16,4,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
20,gráficos de histograma,390,2,15,4,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
21,que es un histograma de frecuencia,260,2,12,3,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
22,histograma que es,4400,3,69,7,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
23,boxplot,1300,3,26,21,http://aluracursos.com/blog/mejora-del-analisis-con-boxplot
24,que es trigger,260,3,21,13,http://aluracursos.com/blog/que-es-y-como-trigger-en-sql
25,variables de entorno,210,3,17,4,http://aluracursos.com/blog/como-configurar-variables-de-entorno-en-windows-linux-y-macos
26,variable de entorno,210,3,17,5,http://aluracursos.com/blog/como-configurar-variables-de-entorno-en-windows-linux-y-macos
27,programacion y algoritmos,480,3,12,27,http://aluracursos.com/blog/algoritmos-y-logica-de-programacion-que-es-eso-y-porque-es-importante
28,que es el promedio ponderado,720,3,12,5,http://aluracursos.com/blog/promedio-ponderado-en-excel
29,lenguaje python,390,4,21,11,http://aluracursos.com/blog/que-es-python-historia-guia-para-iniciar
30,javascript replace,480,4,21,18,http://aluracursos.com/blog/javascript-replace-manipulando-strings-regex
31,positions css,480,4,20,63,http://aluracursos.com/blog/comprenda-la-propiedad-position-css
32,position css,480,4,20,57,http://aluracursos.com/blog/comprenda-la-propiedad-position-css
33,styled components,320,4,18,37,http://aluracursos.com/blog/styled-components-material-ui-que-son-como-utilizarlas
34,estadística histograma,320,4,13,4,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
35,join en sql,720,4,13,31,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
36,encapsulamiento,390,4,11,31,http://aluracursos.com/blog/Que-es-encapsulamiento
37,que es promedio ponderado,720,4,9,1,http://aluracursos.com/blog/promedio-ponderado-en-excel
38,html css javascript,390,4,5,7,http://aluracursos.com/blog/html-css-javascript-cuales-son-las-diferencias
39,codepen,6600,5,73,17,http://aluracursos.com/blog/codepen-que-es-y-como-funciona
40,histograma de frecuencia,2400,5,25,29,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
41,histogramas ejemplos,880,5,18,24,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
42,joins,2900,5,17,40,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
43,logica de programacion,1000,5,13,15,http://aluracursos.com/blog/algoritmos-y-logica-de-programacion-que-es-eso-y-porque-es-importante
44,flexbox css,720,5,7,55,http://aluracursos.com/blog/flexbox-css-guia-completo-elementos-y-ejemplos
45,replace javascript,390,5,7,28,http://aluracursos.com/blog/javascript-replace-manipulando-strings-regex
46,aprendizaje continuo,590,5,5,19,http://aluracursos.com/blog/aprendizaje-continuo
47,lenguaje de programación python,390,5,5,9,http://aluracursos.com/blog/que-es-python-historia-guia-para-iniciar
48,calcular mascara de red,210,5,5,6,http://aluracursos.com/blog/Como-calcular-mascaras-de-subred-de-forma-simple
49,flexbox in css,260,5,1,72,http://aluracursos.com/blog/flexbox-css-guia-completo-elementos-y-ejemplos
50,que es compilación,260,5,1,13,http://aluracursos.com/blog/que-es-compilacion-y-cual-es-el-papel-de-los-compiladores
51,transicion curso,1300,6,62,13,http://aluracursos.com/curso-online-transicion-carrera-guia-campo-tecnologia
52,pandas,18100,6,35,31,http://aluracursos.com/blog/pandas-python-que-es-para-que-sirve-como-descargar
53,histogramas de frecuencia,2400,6,23,29,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
54,ejemplo histograma,880,6,13,25,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
55,histograma ejemplo,880,6,13,18,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
56,histograma ejemplos,880,6,13,18,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
57,ejemplo de histograma,880,6,11,28,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
58,ejemplos de histograma,880,6,11,13,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
59,js replace,480,6,11,25,http://aluracursos.com/blog/javascript-replace-manipulando-strings-regex
60,ejemplos de histogramas,880,6,11,17,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
61,array js,480,6,10,49,http://aluracursos.com/blog/array-en-javascript
62,algoritmos y programación,480,6,9,23,http://aluracursos.com/blog/algoritmos-y-logica-de-programacion-que-es-eso-y-porque-es-importante
63,array,1900,6,7,40,http://aluracursos.com/blog/javascript-para-que-sirve-un-array
64,inner join sql,390,6,6,12,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
65,flexbox,1300,6,6,27,http://aluracursos.com/blog/flexbox-css-guia-completo-elementos-y-ejemplos
66,estadistica histograma,260,6,4,5,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
67,histograma de frecuencia absoluta,260,6,3,5,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
68,buscarx,720,6,3,26,http://aluracursos.com/blog/funcion-buscarx
69,css flexbox,260,6,3,72,http://aluracursos.com/blog/flexbox-css-guia-completo-elementos-y-ejemplos
70,dashboard en power bi,210,6,3,1,http://aluracursos.com/blog/power-bi-dashboards-vs-informes
71,join sql,1300,7,62,33,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
72,qué es un histograma,4400,7,25,7,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
73,que es un histograma,4400,7,23,28,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
74,histograma de frecuencias,2400,7,13,31,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
75,python que es,1300,7,10,36,http://aluracursos.com/blog/que-es-python-historia-guia-para-iniciar
76,estructuras de datos,1300,7,10,14,http://aluracursos.com/blog/estructura-de-datos-introduccion
77,imagen de histograma,210,7,6,2,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
78,inner join en sql,170,7,5,6,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
79,python lenguaje de programacion,210,7,4,21,http://aluracursos.com/blog/que-es-python-historia-guia-para-iniciar
80,select insert into,260,7,4,12,http://aluracursos.com/blog/select-insert-update-delete-sql
81,histograma estadistica,260,7,4,5,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
82,tipos de prueba,390,7,4,13,http://aluracursos.com/blog/tipos-de-pruebas-cual-utilizar
83,array javascript,480,7,4,2,http://aluracursos.com/blog/array-en-javascript
84,cursos linkedin,320,7,3,20,http://aluracursos.com/curso-online-linkedin-hacer-perfil-trabaje-por-ti
85,como manejar excel,390,7,3,6,http://aluracursos.com/blog/como-utilizar-excel
86,como usar excel,390,7,3,2,http://aluracursos.com/blog/como-utilizar-excel
87,postman en español,320,7,3,13,http://aluracursos.com/blog/postman-aprenda-como-instalar-y-dar-sus-primeros-pasos
88,count sql,260,7,3,11,http://aluracursos.com/blog/select-count-count1-e-countnome-la-batalla-de-los-counts-de-sql
89,oracle one,260,7,3,12,http://aluracursos.com/
90,transición curso,1300,8,61,18,http://aluracursos.com/curso-online-transicion-carrera-guia-campo-tecnologia
91,principios solid,1600,8,58,14,http://aluracursos.com/blog/solid
92,pandas python,1000,8,55,52,http://aluracursos.com/blog/pandas-python-que-es-para-que-sirve-como-descargar
93,histograma,14800,8,29,18,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
94,que es python,2900,8,9,38,http://aluracursos.com/blog/que-es-python-historia-guia-para-iniciar
95,imagenes de histogramas,210,8,7,1,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
96,formaciones,260,8,5,13,http://aluracursos.com/formaciones
97,histograma de frecuencias absolutas,260,8,4,3,http://aluracursos.com/blog/histograma-que-es-ejemplos-graficos-y-tipos
98,display flex,720,8,4,22,http://aluracursos.com/blog/flexbox-css-guia-completo-elementos-y-ejemplos
99,css flex,260,8,4,24,http://aluracursos.com/blog/flexbox-css-guia-completo-elementos-y-ejemplos
100,instalar mysql,260,8,4,11,http://aluracursos.com/blog/descargar-mysql-serve
101,js array,320,8,3,85,http://aluracursos.com/blog/array-en-javascript
102,matplotlib python,480,8,3,45,http://aluracursos.com/blog/introduccion-matplotlib-una-biblioteca-de-python
103,lógica de programación,260,8,3,16,http://aluracursos.com/blog/algoritmos-y-logica-de-programacion-que-es-eso-y-porque-es-importante
104,máscara de subred,1000,8,3,32,http://aluracursos.com/blog/Como-calcular-mascaras-de-subred-de-forma-simple
105,spring framework,480,8,3,36,http://aluracursos.com/blog/spring-conozca-framework-java
106,estructura básica de html,390,8,2,8,http://aluracursos.com/blog/html-y-sus-etiquetas
107,promedio ponderado,4400,9,76,18,http://aluracursos.com/blog/promedio-ponderado-en-excel
108,inner join,1600,9,59,12,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
109,gh pages,1300,9,57,30,http://aluracursos.com/blog/github-pages
110,jwt json web token,5400,9,36,38,http://aluracursos.com/blog/que-es-json-web-token
111,jsonwebtoken,5400,9,28,70,http://aluracursos.com/blog/que-es-json-web-token
112,editores de código online,260,9,4,7,http://aluracursos.com/blog/editores-de-codigo-e-ides
113,promedio ponderado en excel,720,9,4,5,http://aluracursos.com/blog/promedio-ponderado-en-excel
114,principio solid,320,9,3,1,http://aluracursos.com/blog/solid
115,solid,1900,9,3,44,http://aluracursos.com/blog/solid
116,operador ternario,390,9,3,18,http://aluracursos.com/blog/que-es-un-operador-ternario
117,sql join,720,9,3,7,http://aluracursos.com/blog/sql-join-aprenda-inner-left-right-full-e-cross
118,que es un algoritmo y para que sirve,210,9,3,25,http://aluracursos.com/blog/que-son-y-para-que-sirven-los-algoritmos
119,tags html,260,9,3,27,http://aluracursos.com/blog/html-y-sus-etiquetas
120,solid principios,320,9,3,20,http://aluracursos.com/blog/solid
121,qué es un algoritmo y para qué sirve,210,9,3,25,http://aluracursos.com/blog/que-son-y-para-que-sirven-los-algoritmos
122,servlet java,260,9,3,18,http://aluracursos.com/blog/creando-una-aplicacion-java-web-con-servlet-completo
123,que es un string,390,9,3,5,http://aluracursos.com/blog/strings-con-javascript-que-son-y-como-manipularlas
124,workbench mysql,590,9,2,41,http://aluracursos.com/blog/descargar-mysql-serve
